Breed,Class Name,Entries
Bracco Italiano,Class 815.  Veteran Dog,1
Bracco Italiano,Class 816.  Puppy Dog,3
Bracco Italiano,Class 817.  Junior Dog,2
Bracco Italiano,Class 818.  Post Graduate Dog,6
Bracco Italiano,Class 819.  Limit Dog,8
Bracco Italiano,Class 820.  Open Dog,9
Bracco Italiano,Class 821.  Special Working Gundog Dog,0
Bracco Italiano,Class 822.  Good Citizen Dog Scheme Dog,2
Bracco Italiano,Class 823.  Veteran Bitch,1
Bracco Italiano,Class 824.  Puppy Bitch,4
Bracco Italiano,Class 825.  Junior Bitch,3
Bracco Italiano,Class 826.  Post Graduate Bitch,9
Bracco Italiano,Class 827.  Limit Bitch,7
Bracco Italiano,Class 828.  Open Bitch,5
Bracco Italiano,Class 829.  Special Working Gundog Bitch,1
Bracco Italiano,Class 830.  Good Citizen Dog Scheme Bitch,2
Brittany,Class 831.  Veteran Dog,2
Brittany,Class 832.  Puppy Dog,2
Brittany,Class 833.  Junior Dog,1
Brittany,Class 834.  Post Graduate Dog,1
Brittany,Class 835.  Limit Dog,3
Brittany,Class 836.  Open Dog,4
Brittany,Class 837.  Field Trial Dog,0
Brittany,Class 838.  Special Working Gundog Dog,0
Brittany,Class 839.  Good Citizen Dog Scheme Dog,0
Brittany,Class 840.  Veteran Bitch,1
Brittany,Class 841.  Puppy Bitch,1
Brittany,Class 842.  Junior Bitch,1
Brittany,Class 843.  Post Graduate Bitch,3
Brittany,Class 844.  Limit Bitch,6
Brittany,Class 845.  Open Bitch,6
Brittany,Class 846.  Field Trial Bitch,0
Brittany,Class 847.  Special Working Gundog Bitch,0
Brittany,Class 848.  Good Citizen Dog Scheme Bitch,0
English Setter,Class 849.  Veteran Dog,12
English Setter,Class 850.  Minor Puppy Dog,2
English Setter,Class 851.  Puppy Dog,3
English Setter,Class 852.  Junior Dog,7
English Setter,Class 853.  Yearling Dog,9
English Setter,Class 854.  Post Graduate Dog,14
English Setter,Class 855.  Limit Dog,11
English Setter,Class 856.  Open Dog,10
English Setter,Class 857.  Field Trial Dog,0
English Setter,Class 858.  Special Working Gundog Dog,0
English Setter,Class 859.  Good Citizen Dog Scheme Dog,5
English Setter,Class 860.  Veteran Bitch,10
English Setter,Class 861.  Minor Puppy Bitch,1
English Setter,Class 862.  Puppy Bitch,4
English Setter,Class 863.  Junior Bitch,7
English Setter,Class 864.  Yearling Bitch,7
English Setter,Class 865.  Post Graduate Bitch,14
English Setter,Class 866.  Limit Bitch,10
English Setter,Class 867.  Open Bitch,10
English Setter,Class 868.  Field Trial Bitch,0
English Setter,Class 869.  Special Working Gundog Bitch,1
English Setter,Class 870.  Good Citizen Dog Scheme Bitch,4
German Longhaired Pointer,Class 871.  Veteran Dog,2
German Longhaired Pointer,Class 872.  Puppy Dog,0
German Longhaired Pointer,Class 873.  Junior Dog,1
German Longhaired Pointer,Class 874.  Post Graduate Dog,2
German Longhaired Pointer,Class 875.  Open Dog,2
German Longhaired Pointer,Class 876.  Field Trial Dog,2
German Longhaired Pointer,Class 877.  Special Working Gundog Dog,2
German Longhaired Pointer,Class 878.  Good Citizen Dog Scheme Dog,0
German Longhaired Pointer,Class 879.  Veteran Bitch,4
German Longhaired Pointer,Class 880.  Puppy Bitch,0
German Longhaired Pointer,Class 881.  Junior Bitch,3
German Longhaired Pointer,Class 882.  Post Graduate Bitch,3
German Longhaired Pointer,Class 883.  Open Bitch,8
German Longhaired Pointer,Class 884.  Field Trial Bitch,1
German Longhaired Pointer,Class 885.  Special Working Gundog Bitch,0
German Longhaired Pointer,Class 886.  Good Citizen Dog Scheme Bitch,1
German Shorthaired Pointer,Class 887.  Veteran Dog,2
German Shorthaired Pointer,Class 888.  Puppy Dog,5
